Provinces Name,Provinces Code,Series Name,Series Code,2013 [YR2013]
"Garut, Kab.",ID.JR.GA,Human Development Index,IDX.HDI,72.43
"Indramayu, Kab.",ID.JR.IN,Human Development Index,IDX.HDI,69.52
"Karawang, Kab.",ID.JR.KA,Human Development Index,IDX.HDI,71.56
"Kuningan, Kab.",ID.JR.KU,Human Development Index,IDX.HDI,72.47
"Majalengka, Kab.",ID.JR.MA,Human Development Index,IDX.HDI,71.9
"Pangandaran, Kab.",ID.JR.PN,Human Development Index,IDX.HDI,70.74
"Purwakarta, Kab.",ID.JR.PU,Human Development Index,IDX.HDI,72.75
"Subang, Kab.",ID.JR.SB,Human Development Index,IDX.HDI,72.1
"Sukabumi, Kab.",ID.JR.SM,Human Development Index,IDX.HDI,71.96
"Sukabumi, Kota",ID.JR.SK,Human Development Index,IDX.HDI,76.16
"Sumedang, Kab.",ID.JR.SD,Human Development Index,IDX.HDI,73.58
"Tasikmalaya, Kab.",ID.JR.TM,Human Development Index,IDX.HDI,73.26
"Tasikmalaya, Kota",ID.JR.TS,Human Development Index,IDX.HDI,75.71
"Banjarnegara, Kab.",ID.JT.BN,Human Development Index,IDX.HDI,71.13
"Banyumas, Kab.",ID.JT.BY,Human Development Index,IDX.HDI,73.96
"Batang, Kab.",ID.JT.BT,Human Development Index,IDX.HDI,72.03
"Blora, Kab.",ID.JT.BL,Human Development Index,IDX.HDI,72.1
"Boyolali, Kab.",ID.JT.BO,Human Development Index,IDX.HDI,71.88
"Brebes, Kab.",ID.JT.BR,Human Development Index,IDX.HDI,69.85
"Cilacap, Kab.",ID.JT.CI,Human Development Index,IDX.HDI,73.34
"Demak, Kab.",ID.JT.DE,Human Development Index,IDX.HDI,73.85
"Grobogan, Kab.",ID.JT.GR,Human Development Index,IDX.HDI,72.37
"Jepara, Kab.",ID.JT.JE,Human Development Index,IDX.HDI,74.13
"Karanganyar, Kab.",ID.JT.KA,Human Development Index,IDX.HDI,75.27
"Kebumen, Kab.",ID.JT.KB,Human Development Index,IDX.HDI,72.25
"Kendal, Kab.",ID.JT.KN,Human Development Index,IDX.HDI,72.03
"Klaten, Kab.",ID.JT.KL,Human Development Index,IDX.HDI,74.91
"Kudus, Kab.",ID.JT.KU,Human Development Index,IDX.HDI,74.09
"Magelang, Kab.",ID.JT.MM,Human Development Index,IDX.HDI,73.67
"Magelang, Kota",ID.JT.MG,Human Development Index,IDX.HDI,77.91
"Pati, Kab.",ID.JT.PA,Human Development Index,IDX.HDI,74.58
"Pekalongan, Kab.",ID.JT.PM,Human Development Index,IDX.HDI,73.14
"Pekalongan, Kota",ID.JT.PK,Human Development Index,IDX.HDI,75.75
"Pemalang, Kab.",ID.JT.PL,Human Development Index,IDX.HDI,71.26
"Purbalingga, Kab.",ID.JT.PB,Human Development Index,IDX.HDI,73.49
"Purworejo, Kab.",ID.JT.PW,Human Development Index,IDX.HDI,74.18
"Rembang, Kab.",ID.JT.RE,Human Development Index,IDX.HDI,73.53
"Salatiga, Kota",ID.JT.SA,Human Development Index,IDX.HDI,77.54
"Semarang, Kab.",ID.JT.SM,Human Development Index,IDX.HDI,75.48
"Semarang, Kota",ID.JT.SE,Human Development Index,IDX.HDI,78.54
"Sragen, Kab.",ID.JT.SG,Human Development Index,IDX.HDI,72.31
"Sukoharjo, Kab.",ID.JT.SH,Human Development Index,IDX.HDI,74.91
"Surakarta, Kota",ID.JT.SK,Human Development Index,IDX.HDI,79.1
"Tegal, Kab.",ID.JT.TM,Human Development Index,IDX.HDI,72.22
"Tegal, Kota",ID.JT.TE,Human Development Index,IDX.HDI,75.02
"Temanggung, Kab.",ID.JT.TG,Human Development Index,IDX.HDI,75
"Wonogiri, Kab.",ID.JT.WG,Human Development Index,IDX.HDI,73.09
"Wonosobo, Kab.",ID.JT.WS,Human Development Index,IDX.HDI,71.9
"Bangkalan, Kab.",ID.JI.BK,Human Development Index,IDX.HDI,66.19
"Banyuwangi, Kab.",ID.JI.BW,Human Development Index,IDX.HDI,71.02
"Batu, Kota",ID.JI.BA,Human Development Index,IDX.HDI,76.09
"Blitar, Kab.",ID.JI.BR,Human Development Index,IDX.HDI,74.92
"Blitar, Kota",ID.JI.BL,Human Development Index,IDX.HDI,78.7
"Bojonegoro, Kab.",ID.JI.BJ,Human Development Index,IDX.HDI,68.32
"Bondowoso, Kab.",ID.JI.BD,Human Development Index,IDX.HDI,65.39
"Gresik, Kab.",ID.JI.GR,Human Development Index,IDX.HDI,76.36
"Jember, Kab.",ID.JI.JE,Human Development Index,IDX.HDI,66.6
"Jombang, Kab.",ID.JI.JO,Human Development Index,IDX.HDI,74.47
"Kediri, Kab.",ID.JI.KR,Human Development Index,IDX.HDI,73.29
"Kediri, Kota",ID.JI.KD,Human Development Index,IDX.HDI,77.8
